UPS 2nd Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 202 , Zone 203 , Zone 204 , Zone 205 , Zone 206 , Zone 207 , Zone 208 , Zone 224 , Zone 225 , Zone 226

Letter,$7.50 ,$8.00 ,$8.40 ,$9.10 ,$9.80 ,$10.20 ,$10.60 ,$14.60 ,$14.60 ,$20.20 
112,$74.20 ,$86.90 ,$109.80 ,$154.60 ,$221.80 ,$237.50 ,$247.50 ,$249.80 ,$249.80 ,$252.00 
113,$74.90 ,$87.60 ,$110.80 ,$156.00 ,$223.80 ,$239.60 ,$249.80 ,$252.00 ,$252.00 ,$254.30 
114,$75.60 ,$88.40 ,$111.70 ,$157.30 ,$225.70 ,$241.70 ,$252.00 ,$254.30 ,$254.30 ,$256.50 
115,$76.30 ,$89.20 ,$112.70 ,$158.70 ,$227.70 ,$243.80 ,$254.20 ,$256.50 ,$256.50 ,$258.80 
116,$77.00 ,$89.90 ,$113.70 ,$160.10 ,$229.70 ,$245.90 ,$256.40 ,$258.70 ,$258.70 ,$261.00 
117,$77.60 ,$90.70 ,$114.70 ,$161.50 ,$231.70 ,$248.10 ,$258.60 ,$261.00 ,$261.00 ,$263.30 
118,$78.30 ,$91.50 ,$115.60 ,$162.90 ,$233.70 ,$250.20 ,$260.80 ,$263.20 ,$263.20 ,$265.50 
119,$78.90 ,$92.30 ,$116.60 ,$164.20 ,$235.60 ,$252.30 ,$263.00 ,$265.40 ,$265.40 ,$267.80 
120,$79.60 ,$93.10 ,$117.50 ,$165.60 ,$237.60 ,$254.40 ,$265.20 ,$267.60 ,$267.60 ,$270.00 
121,$80.20 ,$93.80 ,$118.60 ,$167.00 ,$239.60 ,$256.60 ,$267.40 ,$269.90 ,$269.90 ,$272.30 
122,$80.90 ,$94.50 ,$119.60 ,$168.40 ,$241.60 ,$258.70 ,$269.60 ,$272.10 ,$272.10 ,$274.50 
123,$81.50 ,$95.30 ,$120.50 ,$169.80 ,$243.60 ,$260.80 ,$271.90 ,$274.30 ,$274.30 ,$276.80 
124,$82.20 ,$96.00 ,$121.50 ,$171.10 ,$245.50 ,$262.90 ,$274.10 ,$276.60 ,$276.60 ,$279.00 
125,$82.80 ,$96.90 ,$122.40 ,$172.50 ,$247.50 ,$265.00 ,$276.30 ,$278.80 ,$278.80 ,$281.30 
126,$83.50 ,$97.60 ,$123.50 ,$173.90 ,$249.50 ,$267.10 ,$278.50 ,$281.00 ,$281.00 ,$283.50 
127,$84.10 ,$98.30 ,$124.50 ,$175.30 ,$251.50 ,$269.30 ,$280.70 ,$283.30 ,$283.30 ,$285.80 
128,$84.70 ,$99.10 ,$125.50 ,$176.70 ,$253.50 ,$271.40 ,$282.90 ,$285.50 ,$285.50 ,$288.00 
129,$85.30 ,$99.90 ,$126.50 ,$178.00 ,$255.40 ,$273.50 ,$285.10 ,$287.70 ,$287.70 ,$290.30 
130,$86.10 ,$100.70 ,$127.40 ,$179.40 ,$257.40 ,$275.60 ,$287.30 ,$289.90 ,$289.90 ,$292.50 
131,$86.80 ,$101.40 ,$128.40 ,$180.80 ,$259.40 ,$277.80 ,$289.50 ,$292.20 ,$292.20 ,$294.80 
132,$87.50 ,$102.30 ,$129.40 ,$182.20 ,$261.40 ,$279.90 ,$291.70 ,$294.40 ,$294.40 ,$297.00 
133,$88.20 ,$103.00 ,$130.40 ,$183.60 ,$263.40 ,$282.00 ,$294.00 ,$296.60 ,$296.60 ,$299.30 
134,$88.90 ,$103.80 ,$131.30 ,$184.90 ,$265.30 ,$284.10 ,$296.20 ,$298.90 ,$298.90 ,$301.50 
135,$89.60 ,$104.60 ,$132.30 ,$186.30 ,$267.30 ,$286.20 ,$298.40 ,$301.10 ,$301.10 ,$303.80 
136,$90.20 ,$105.30 ,$133.20 ,$187.70 ,$269.30 ,$288.30 ,$300.60 ,$303.30 ,$303.30 ,$306.00 
137,$90.70 ,$106.10 ,$134.30 ,$189.10 ,$271.30 ,$290.50 ,$302.80 ,$305.60 ,$305.60 ,$308.30 
138,$91.40 ,$106.80 ,$135.20 ,$190.50 ,$273.30 ,$292.60 ,$305.00 ,$307.80 ,$307.80 ,$310.50 
139,$92.10 ,$107.70 ,$136.20 ,$191.80 ,$275.20 ,$294.70 ,$307.20 ,$310.00 ,$310.00 ,$312.80 
140,$92.80 ,$108.50 ,$137.20 ,$193.20 ,$277.20 ,$296.80 ,$309.40 ,$312.20 ,$312.20 ,$315.00 
141,$93.50 ,$109.20 ,$138.10 ,$194.60 ,$279.20 ,$299.00 ,$311.60 ,$314.50 ,$314.50 ,$317.30 
142,$94.20 ,$110.00 ,$139.10 ,$196.00 ,$281.20 ,$301.10 ,$313.80 ,$316.70 ,$316.70 ,$319.50 
143,$94.90 ,$110.90 ,$140.20 ,$197.40 ,$283.20 ,$303.20 ,$316.10 ,$318.90 ,$318.90 ,$321.80 
144,$95.60 ,$111.70 ,$141.10 ,$198.70 ,$285.10 ,$305.30 ,$318.30 ,$321.20 ,$321.20 ,$324.00 
145,$96.20 ,$112.50 ,$142.10 ,$200.10 ,$287.10 ,$307.40 ,$320.50 ,$323.40 ,$323.40 ,$326.30 
146,$96.90 ,$113.30 ,$143.00 ,$201.50 ,$289.10 ,$309.60 ,$322.70 ,$325.60 ,$325.60 ,$328.50 
147,$97.50 ,$114.10 ,$144.10 ,$202.90 ,$291.10 ,$311.70 ,$324.90 ,$327.90 ,$327.90 ,$330.80 
148,$98.10 ,$114.90 ,$145.10 ,$204.30 ,$293.10 ,$313.80 ,$327.10 ,$330.10 ,$330.10 ,$333.00 
149,$98.70 ,$115.60 ,$146.00 ,$205.60 ,$295.00 ,$315.90 ,$329.30 ,$332.30 ,$332.30 ,$335.30 
150,$99.30 ,$116.40 ,$147.00 ,$207.00 ,$297.00 ,$318.00 ,$331.50 ,$334.50 ,$334.50 ,$337.50 
Multiplier,$0.68 ,$0.79 ,$0.99 ,$1.39 ,$1.99 ,$2.13 ,$2.22 ,$2.24 ,$2.24 ,$2.26 
